,page link text,page url
0,Class Central,/
1,Rankings,/rankings
2,Collections,/collections
3,View all,/subjects
4,Computer Science,/subject/cs
5,Health & Medicine,/subject/health
6,Mathematics,/subject/maths
7,Business,/subject/business
8,Humanities,/subject/humanities
9,Engineering,/subject/engineering
10,Science,/subject/science
11,Education & Teaching,/subject/education
12,Social Sciences,/subject/social-sciences
13,Art & Design,/subject/art-and-design
14,Data Science,/subject/data-science
15,Programming,/subject/programming-and-software-development
16,Personal Development,/subject/personal-development
17,Information Security (InfoSec),/subject/infosec
18,View all Subjects,/subjects
19,Universities,/universities
20,The Report,/report/
21,1000+ universities,/universities
22,,/collection/top-free-online-courses
23,,https://www.classcentral.com/report/most-popular-online-courses/
24,Best of All Time,/collection/top-free-online-courses
25,Best of the Year 2022,https://www.classcentral.com/report/best-free-online-courses-2022/
26,Best of the Year 2021,https://www.classcentral.com/report/best-free-online-courses-2021/
27,Most Popular of All Time,https://www.classcentral.com/report/most-popular-online-courses/
28,Most Popular of the Year 2022,https://www.classcentral.com/report/most-popular-courses-2022/
29,Most Popular of the Year 2021,https://www.classcentral.com/report/100-most-popular-online-courses-2021/
30,,/collection/ivy-league-moocs
31,,https://www.classcentral.com/report/coursera-free-online-courses/
32,,https://www.classcentral.com/report/free-certificates/
33,,https://www.classcentral.com/report/free-google-certifications/
34,Starting this Month,/starting-this-month
35,New Online Courses,/new-online-courses
36,Most Popular,/most-popular-courses
37,Artificial Intelligence,/subject/ai
38,Algorithms and Data Structures,/subject/algorithms-and-data-structures
39,Internet of Things,/subject/internet-of-things
40,Information Technology,/subject/information-technology
41,Computer Networking,/subject/computer-networking
42,Machine Learning,/subject/machine-learning
43,DevOps,/subject/devops
44,Deep Learning,/subject/deep-learning
45,Cryptography,/subject/cryptography
46,Quantum Computing,/subject/quantum-computing
47,Human-Computer Interaction (HCI),/subject/hci
48,Distributed Systems,/subject/distributed-systems
49,Blockchain Development,/subject/blockchain
50,Operating Systems,/subject/operating-systems
51,Computer Graphics,/subject/computer-graphics
52,View all Computer Science,/subject/cs
53,Nutrition & Wellness,/subject/nutrition-and-wellness
54,Disease & Disorders,/subject/disease-and-disorders
55,Public Health,/subject/public-health
56,Health Care,/subject/health-care
57,Nursing,/subject/nursing
58,Anatomy,/subject/anatomy
59,Veterinary Science,/subject/veterinary-science
60,Continuing Medical Education (CME),/subject/cme
61,View all Health & Medicine,/subject/health
62,Statistics & Probability,/subject/statistics
63,Foundations of Mathematics,/subject/foundations-of-mathematics
64,Calculus,/subject/calculus
65,Discrete Mathematics,/subject/discrete-mathematics
66,Trigonometry,/subject/trigonometry
67,Geometry,/subject/geometry
68,Algebra,/subject/algebra
69,Precalculus,/subject/precalculus
70,Number Theory,/subject/number-theory
71,Combinatorics,/subject/combinatorics
72,Mathematical logic,/subject/mathematical-logic
73,Linear Programming,/subject/linear-programming
74,View all Mathematics,/subject/maths
75,Management & Leadership,/subject/management-and-leadership
76,Finance,/subject/finance
77,Entrepreneurship,/subject/entrepreneurship
78,Marketing,/subject/marketing
79,Strategic Management,/subject/strategic-management
80,Industry Specific,/subject/industry-specific
81,Business Intelligence,/subject/business-intelligence
82,Accounting,/subject/accounting
83,Human Resources,/subject/human-resources
84,Project Management,/subject/project-management
85,Sales,/subject/sales
86,Design Thinking,/subject/design-thinking
87,Business Software,/subject/business-software
88,Risk Management,/subject/risk-management
89,Corporate Social Responsibility,/subject/csr
90,Customer Service,/subject/customer-service
91,Nonprofit Management,/subject/nonprofit
92,Innovation,/subject/innovation
93,Operations Management,/subject/operations-management
94,View all Business,/subject/business
95,History,/subject/history
96,Literature,/subject/literature
97,Language Learning,/subject/language-learning
98,Grammar & Writing,/subject/grammar-writing
99,Philosophy,/subject/philosophy
100,Religion,/subject/religion
101,ESL,/subject/esl
102,Culture,/subject/culture
103,Sports,/subject/sports
104,Journalism,/subject/journalism
105,Ethics,/subject/ethics
106,Linguistics,/subject/linguistics
107,Food,/subject/food
108,Library Science,/subject/library-science
109,Reading,/subject/reading
110,Crisis Management,/subject/crisis-management
111,View all Humanities,/subject/humanities
